ProductID,ProductName,TotalStock
427,Thin-Jam Lock Nut 16,1608
428,Thin-Jam Lock Nut 5,1604
456,Lock Nut 14,1604
431,Thin-Jam Lock Nut 4,1604
446,Lock Nut 23,1604
329,Road End Caps,1601
429,Thin-Jam Lock Nut 6,1599
430,Thin-Jam Lock Nut 3,1594
455,Lock Nut 3,1594
527,Spokes,1590
447,Lock Nut 12,1589
454,Lock Nut 21,1584
453,Lock Nut 20,1575
448,Lock Nut 13,1575
330,Touring End Caps,1571
452,Lock Nut 2,1565
449,Lock Nut 1,1560
451,Lock Nut 11,1556
450,Lock Nut 10,1546
331,Fork End,1405
327,Down Tube,1364
513,Touring Rim,1364
316,Blade,1361
3,BB Ball Bearing,1352
350,Fork Crown,1341
398,Handlebar Tube,1326
4,Headset Ball Bearings,1322
399,Head Tube,1308
525,LL Shell,1263
532,Seat Stays,1257
509,HL Mountain Rim,1247
508,ML Mountain Rim,1231
507,LL Mountain Rim,1215
526,HL Shell,1211
320,Chainring Bolts,1136
414,Internal Lock Washer 9,1119
2,Bearing Ball,1109
415,Internal Lock Washer 5,1104
341,Flat Washer 1,1103
359,Thin-Jam Hex Nut 9,1103
368,Thin-Jam Hex Nut 4,1103
342,Flat Washer 6,1093
416,Internal Lock Washer 7,1090
1,Adjustable Race,1085
369,Thin-Jam Hex Nut 13,1084
360,Thin-Jam Hex Nut 10,1084
504,Cup-Shaped Race,1084
476,Metal Angle,1083
477,Metal Bar 1,1079
344,Flat Washer 9,1072
408,External Lock Washer 6,1057
364,Thin-Jam Hex Nut 16,1052
409,External Lock Washer 1,1046
410,External Lock Washer 8,1037
366,Thin-Jam Hex Nut 6,1029
479,Metal Plate 2,1029
362,Thin-Jam Hex Nut 2,1026
481,Metal Plate 3,997
484,Metal Sheet 7,997
487,Metal Sheet 6,992
402,Keyed Washer,990
916,HL Touring Seat/Saddle,989
403,External Lock Washer 3,981
497,Pinch Bolt,973
404,External Lock Washer 4,972
505,Cone-Shaped Race,970
996,HL Bottom Bracket,970
405,External Lock Washer 9,963
406,External Lock Washer 5,952
377,Hex Nut 16,941
345,Flat Washer 4,936
488,Metal Sheet 1,935
349,Flat Washer 7,926
378,Hex Nut 17,926
375,Hex Nut 5,925
485,Metal Sheet 4,924
482,Metal Sheet 2,924
951,HL Crankset,923
491,HL Nipple,922
418,Internal Lock Washer 10,919
374,Thin-Jam Hex Nut 11,916
419,Internal Lock Washer 1,914
394,Hex Nut 15,911
348,Flat Washer 5,911
420,Internal Lock Washer 8,909
373,Thin-Jam Hex Nut 12,906
940,HL Road Pedal,906
911,LL Road Seat/Saddle,906
950,ML Crankset,905
421,Internal Lock Washer 2,905
912,ML Road Seat/Saddle,901
804,HL Fork,901
372,Thin-Jam Hex Nut 8,897
347,Flat Washer 8,896
818,LL Road Front Wheel,888
949,LL Crankset,885
941,Touring Pedal,885
370,Thin-Jam Hex Nut 14,883
803,ML Fork,882
802,LL Fork,863
808,LL Mountain Handlebars,859
945,Front Derailleur,853
809,ML Mountain Handlebars,850
894,Rear Derailleur,847
332,Freewheel,844
810,HL Mountain Handlebars,840
827,ML Road Rear Wheel,837
522,HL Touring Seat Assembly,836
535,Tension Pulley,836
747,HL Mountain Frame - Black, 38,834
811,LL Road Handlebars,831
533,Seat Tube,831
521,ML Touring Seat Assembly,831
817,HL Mountain Front Wheel,831
506,Reflector,827
520,LL Touring Seat Assembly,826
942,ML Mountain Frame-W - Silver, 38,826
812,ML Road Handlebars,822
355,Guide Pulley,822
519,HL Road Seat Assembly,821
384,Hex Nut 12,820
392,Hex Nut 3,818
816,ML Mountain Front Wheel,818
995,ML Bottom Bracket,816
518,ML Road Seat Assembly,816
994,LL Bottom Bracket,814
824,ML Mountain Rear Wheel,812
517,LL Road Seat Assembly,812
813,HL Road Handlebars,811
391,Hex Nut 21,809
908,LL Mountain Seat/Saddle,809
382,Hex Nut 22,808
516,HL Mountain Seat Assembly,807
515,ML Mountain Seat Assembly,802
946,LL Touring Handlebars,802
914,LL Touring Seat/Saddle,801
531,Steerer,801
826,LL Road Rear Wheel,799
390,Hex Nut 20,798
388,Hex Nut 11,798
319,HL Crankarm,797
401,HL Hub,797
514,LL Mountain Seat Assembly,797
529,Stem,796
822,ML Road Frame-W - Yellow, 38,796
819,ML Road Front Wheel,793
947,HL Touring Handlebars,792
400,LL Hub,790
381,Hex Nut 9,789
395,Hex Nut 4,784
825,HL Mountain Rear Wheel,783
807,HL Headset,782
356,LL Grip Tape,780
530,Seat Post,780
412,Internal Lock Washer 3,776
352,Front Derailleur Linkage,773
806,ML Headset,772
380,Hex Nut 8,770
814,ML Mountain Frame - Black, 38,767
948,Front Brakes,767
805,LL Headset,761
829,Touring Rear Wheel,741
511,ML Road Rim,740
748,HL Mountain Frame - Silver, 38,738
357,ML Grip Tape,736
821,Touring Front Wheel,736
386,Hex Nut 1,725
907,Rear Brakes,723
815,LL Mountain Front Wheel,722
510,LL Road Rim,722
943,LL Mountain Frame - Black, 40,719
828,HL Road Rear Wheel,716
462,Lower Head Race,701
358,HL Grip Tape,693
944,LL Mountain Frame - Silver, 40,682
823,LL Mountain Rear Wheel,681
820,HL Road Front Wheel,678
929,ML Mountain Tire,669
534,Top Tube,657
512,HL Road Rim,615
928,LL Mountain Tire,609
351,Front Derailleur Cage,605
317,LL Crankarm,593
952,Chain,589
932,ML Road Tire,574
921,Mountain Tire Tube,529
933,HL Road Tire,527
935,LL Mountain Pedal,512
523,LL Spindle/Axle,512
936,ML Mountain Pedal,507
922,Road Tire Tube,505
937,HL Mountain Pedal,503
923,Touring Tire Tube,502
930,HL Mountain Tire,499
938,LL Road Pedal,498
939,ML Road Pedal,494
931,LL Road Tire,488
934,Touring Tire,482
913,HL Road Seat/Saddle,467
524,HL Spindle/Axle,459
318,ML Crankarm,439
909,ML Mountain Seat/Saddle,422
679,Rear Derailleur Cage,421
915,ML Touring Seat/Saddle,402
910,HL Mountain Seat/Saddle,355
881,Short-Sleeve Classic Jersey, S,324
858,Half-Finger Gloves, S,324
872,Road Bottle Cage,324
845,Mountain Pump,324
852,Women's Tights, S,324
708,Sport-100 Helmet, Black,324
707,Sport-100 Helmet, Red,288
712,AWC Logo Cap,288
841,Men's Sports Shorts, S,288
844,Minipump,288
869,Women's Mountain Shorts, L,288
871,Mountain Bottle Cage,288
875,Racing Socks, L,288
874,Racing Socks, M,252
870,Water Bottle - 30 oz.,252
866,Classic Vest, L,252
868,Women's Mountain Shorts, M,252
843,Cable Lock,252
716,Long-Sleeve Logo Jersey, XL,252
770,Road-650 Black, 52,227
792,Road-250 Red, 58,227
799,Road-550-W Yellow, 42,227
971,Touring-2000 Blue, 50,227
976,Road-350-W Yellow, 48,227
780,Mountain-200 Silver, 42,223
786,Mountain-300 Black, 40,223
763,Road-650 Red, 48,223
750,Road-150 Red, 44,223
715,Long-Sleeve Logo Jersey, L,216
710,Mountain Bike Socks, L,216
711,Sport-100 Helmet, Blue,216
848,Headlights - Weatherproof,216
865,Classic Vest, M,216
867,Women's Mountain Shorts, S,216
959,Touring-3000 Blue, 58,204
964,Touring-3000 Yellow, 58,197
988,Mountain-500 Silver, 52,194
999,Road-750 Black, 52,194
776,Mountain-100 Black, 42,194
767,Road-650 Black, 62,188
782,Mountain-200 Black, 38,188
795,Road-250 Black, 52,188
790,Road-250 Red, 48,185
760,Road-650 Red, 60,185
973,Road-350-W Yellow, 40,185
966,Touring-1000 Blue, 46,185
873,Patch Kit/8 Patches,180
864,Classic Vest, S,180
847,Headlights - Dual-Beam,180
851,Men's Sports Shorts, XL,180
714,Long-Sleeve Logo Jersey, M,180
709,Mountain Bike Socks, M,180
962,Touring-3000 Yellow, 50,174
961,Touring-3000 Yellow, 44,168
953,Touring-2000 Blue, 60,165
758,Road-450 Red, 52,165
766,Road-650 Black, 60,165
794,Road-250 Black, 48,165
774,Mountain-100 Silver, 48,164
983,Mountain-400-W Silver, 46,164
985,Mountain-500 Silver, 42,164
979,Touring-3000 Blue, 50,164
992,Mountain-500 Black, 48,164
978,Touring-3000 Blue, 44,163
958,Touring-3000 Blue, 54,163
965,Touring-3000 Yellow, 62,163
759,Road-650 Red, 58,163
753,Road-150 Red, 56,163
789,Road-250 Red, 44,163
963,Touring-3000 Yellow, 54,162
960,Touring-3000 Blue, 62,159
773,Mountain-100 Silver, 44,158
775,Mountain-100 Black, 38,155
987,Mountain-500 Silver, 48,155
998,Road-750 Black, 48,155
991,Mountain-500 Black, 44,154
984,Mountain-500 Silver, 40,154
982,Mountain-400-W Silver, 42,154
981,Mountain-400-W Silver, 40,153
977,Road-750 Black, 58,153
986,Mountain-500 Silver, 44,153
990,Mountain-500 Black, 42,153
993,Mountain-500 Black, 52,153
997,Road-750 Black, 44,153
772,Mountain-100 Silver, 42,153
778,Mountain-100 Black, 48,153
957,Touring-1000 Yellow, 60,151
989,Mountain-500 Black, 40,150
980,Mountain-400-W Silver, 38,150
777,Mountain-100 Black, 44,149
771,Mountain-100 Silver, 38,149
768,Road-650 Black, 44,148
761,Road-650 Red, 62,148
754,Road-450 Red, 58,148
791,Road-250 Red, 52,148
796,Road-250 Black, 58,148
797,Road-550-W Yellow, 38,148
783,Mountain-200 Black, 42,148
967,Touring-1000 Blue, 50,148
974,Road-350-W Yellow, 42,148
954,Touring-1000 Yellow, 46,148
850,Men's Sports Shorts, L,144
846,Taillights - Battery-Powered,144
863,Full-Finger Gloves, L,144
857,Men's Bib-Shorts, L,144
879,All-Purpose Bike Stand,144
713,Long-Sleeve Logo Jersey, S,144
751,Road-150 Red, 48,140
764,Road-650 Red, 52,140
787,Mountain-300 Black, 44,140
781,Mountain-200 Silver, 46,140
784,Mountain-200 Black, 46,137
785,Mountain-300 Black, 38,137
762,Road-650 Red, 44,137
779,Mountain-200 Silver, 38,137
755,Road-450 Red, 60,137
955,Touring-1000 Yellow, 50,137
757,Road-450 Red, 48,134
765,Road-650 Black, 58,134
801,Road-550-W Yellow, 48,134
793,Road-250 Black, 44,134
798,Road-550-W Yellow, 40,133
769,Road-650 Black, 48,133
749,Road-150 Red, 62,133
975,Road-350-W Yellow, 44,133
968,Touring-1000 Blue, 54,133
970,Touring-2000 Blue, 46,133
969,Touring-1000 Blue, 60,129
972,Touring-2000 Blue, 54,129
756,Road-450 Red, 44,129
800,Road-550-W Yellow, 44,129
788,Mountain-300 Black, 48,128
752,Road-150 Red, 52,128
495,Paint - Blue,109
880,Hydration Pack - 70 oz.,108
878,Fender Set - Mountain,108
862,Full-Finger Gloves, M,108
849,Men's Sports Shorts, M,108
856,Men's Bib-Shorts, M,108
496,Paint - Yellow,99
493,Paint - Red,93
956,Touring-1000 Yellow, 54,75
855,Men's Bib-Shorts, S,72
842,Touring-Panniers, Large,72
861,Full-Finger Gloves, S,72
884,Short-Sleeve Classic Jersey, XL,72
494,Paint - Silver,65
492,Paint - Black,47
883,Short-Sleeve Classic Jersey, L,36
877,Bike Wash - Dissolver,36
860,Half-Finger Gloves, L,36
854,Women's Tights, L,36
853,Women's Tights, M,0
859,Half-Finger Gloves, M,0
876,Hitch Rack - 4-Bike,0
882,Short-Sleeve Classic Jersey, M,0

(432 rows affected)
